Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw
S1008055_R.JPG,33.013943,-87.64034,142.923004,7.815979,-89.996401,60.744461
S1008058_R.JPG,33.014003,-87.640211,142.945007,2.359304,-89.9937,61.053995
S1008061_R.JPG,33.014063,-87.640082,143.037994,3.116595,-89.997154,61.081013
S1008064_R.JPG,33.014123,-87.639954,142.945999,2.589317,-89.998215,60.745365
S1008067_R.JPG,33.014183,-87.639825,142.660004,4.845898,-89.99512,60.84652
S1008070_R.JPG,33.014243,-87.639697,142.817001,3.452284,-89.994558,60.566693
S1008073_R.JPG,33.014302,-87.639568,142.932007,2.530042,-89.990951,60.669498
S1008076_R.JPG,33.014457,-87.639663,142.688995,-20.626626,-89.996307,240.509022
S1008079_R.JPG,33.014404,-87.63979,142.123001,-2.152595,-89.996632,239.955585
S1008082_R.JPG,33.014343,-87.639919,142.210999,-2.048247,-89.992619,240.36159
S1008085_R.JPG,33.014283,-87.640049,142.242004,-2.724229,-89.99762,240.507449
S1008088_R.JPG,33.014224,-87.640175,142.401001,-0.996606,-89.994758,240.774233
S1008091_R.JPG,33.014163,-87.640307,142.421997,-5.768595,-89.994482,241.287333
S1008094_R.JPG,33.014103,-87.640434,142.483994,-0.904425,-89.996533,240.601266
S1008097_R.JPG,33.014042,-87.640564,142.341003,-2.955703,-89.995983,241.178448
S1008100_R.JPG,33.013982,-87.640693,142.518997,-0.767071,-89.997094,240.431849
S1008103_R.JPG,33.013921,-87.640823,142.761993,0.002927,-89.999098,240.180639
S1008106_R.JPG,33.013861,-87.640952,142.934006,0.46987,-89.991204,240.799882
S1008109_R.JPG,33.013801,-87.641081,142.990005,-1.39951,-89.998435,240.804163
S1008112_R.JPG,33.01395,-87.641188,142.985992,14.746735,-89.997062,60.790901
S1008115_R.JPG,33.014014,-87.641064,142.975998,2.207204,-89.997672,60.910333
S1008118_R.JPG,33.014074,-87.640934,142.835999,1.388886,-89.998988,60.888392
S1008121_R.JPG,33.014135,-87.640804,142.662994,-0.637623,-89.997176,61.402643
S1008124_R.JPG,33.014196,-87.640674,142.675995,-1.333261,-89.989585,60.900808
S1008127_R.JPG,33.014256,-87.640545,142.664993,1.444995,-89.997711,60.397951
S1008130_R.JPG,33.014317,-87.640415,142.860992,0.263736,-89.996591,61.254827
S1008133_R.JPG,33.014377,-87.640287,143.024994,0.309184,-89.998318,60.765167
S1008136_R.JPG,33.014438,-87.640156,143.028,0.172891,-89.998203,60.927062
S1008139_R.JPG,33.014499,-87.640025,142.906998,0.769165,-89.993875,61.359637
S1008142_R.JPG,33.014559,-87.639897,142.848999,1.644314,-89.996081,61.098371
